[17:31:55] [main/INFO] [LaunchWrapper]: Loading tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:31:55] [main/INFO] [LaunchWrapper]: Using primary tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:31:55] [main/INFO] [LaunchWrapper]: Calling tweak class net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:31:55] [main/DEBUG] [FML]: Injecting tracing printstreams for STDOUT/STDERR.
[17:31:55] [main/INFO] [FML]: Forge Mod Loader version 14.23.5.2847 for Minecraft 1.12.2 loading
[17:31:55] [main/INFO] [FML]: Java is Java HotSpot(TM) 64-Bit Server VM, version 1.8.0_321, running on Windows 10:amd64:10.0, installed at C:\Program Files\Java\jre1.8.0_321
[17:31:55] [main/DEBUG] [FML]: Java classpath at launch is:
[17:31:55] [main/DEBUG] [FML]:     forge-1.12.2-14.23.5.2847-universal.jar
[17:31:55] [main/DEBUG] [FML]:     log4jfix/Log4jPatcher-1.0.0.jar
[17:31:55] [main/DEBUG] [FML]: Java library path at launch is:
[17:31:55] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\Sun\Java\bin
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\system32
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS
[17:31:55] [main/DEBUG] [FML]:     C:\Users\unai\Saved Games\Python\Scripts\
[17:31:55] [main/DEBUG] [FML]:     C:\Users\unai\Saved Games\Python\
[17:31:55] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[17:31:55] [main/DEBUG] [FML]:     C:\ProgramData\Oracle\Java\javapath
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\system32
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\System32\Wbem
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\System32\WindowsPowerShell\v1.0\
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\System32\OpenSSH\
[17:31:55] [main/DEBUG] [FML]:     C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\system32
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\System32\Wbem
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\System32\WindowsPowerShell\v1.0\
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\System32\OpenSSH\
[17:31:55] [main/DEBUG] [FML]:     C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR
[17:31:55] [main/DEBUG] [FML]:     C:\Program Files\Git\cmd
[17:31:55] [main/DEBUG] [FML]:     C:\Users\unai\AppData\Local\Microsoft\WindowsApps
[17:31:55] [main/DEBUG] [FML]:     
[17:31:55] [main/DEBUG] [FML]:     C:\Users\unai\AppData\Local\Programs\Microsoft VS Code\bin
[17:31:55] [main/DEBUG] [FML]: Examining file: ThermalFoundation-1.12.2-2.6.7.1-universal.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: TinkerToolLeveling-1.12.2-1.1.0.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: TipTheScales-1.12.2-1.0.4.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: TombManyGraves-1.12-4.2.0.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: topaddons-1.12.2-1.13.0.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Traverse-1.12.2-1.6.0-69.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: trumpetskeleton-1.12-1.0.2.1.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: twilightforest-1.12.2-3.11.1021-universal.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: VanillaFix-1.0.10-150.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: XL-Food-Mod-1.12.2-1.9.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: XPTeleporters-1.12.2-2.0.2.jar
[17:31:55] [main/DEBUG] [FML]: File already proccessed C:\Users\unai\Desktop\Minecraft\Server develop\FTB Academy 1.4 (1.12.2 modpack)\.\mods\OreLib-1.12.2-3.6.0.1.jar, Skipping
[17:31:55] [main/DEBUG] [FML]: File already proccessed C:\Users\unai\Desktop\Minecraft\Server develop\FTB Academy 1.4 (1.12.2 modpack)\.\mods\phosphor-forge-mc1.12.2-0.2.7-universal.jar, Skipping
[17:31:55] [main/DEBUG] [FML]: File already proccessed C:\Users\unai\Desktop\Minecraft\Server develop\FTB Academy 1.4 (1.12.2 modpack)\.\mods\reauth-3.6.0.jar, Skipping
[17:31:55] [main/DEBUG] [FML]: Enabling runtime deobfuscation
[17:31:55] [main/DEBUG] [FML]: Instantiating coremod class FMLCorePlugin
[17:31:55] [main/WARN] [FML]: The coremod FMLCorePlugin (net.minecraftforge.fml.relauncher.FMLCorePlugin) is not signed!
[17:31:55] [main/DEBUG] [FML]: Added access transformer class net.minecraftforge.fml.common.asm.transformers.AccessTransformer to enqueued access transformers
[17:31:55] [main/DEBUG] [FML]: Enqueued coremod FMLCorePlugin
[17:31:55] [main/DEBUG] [FML]: Instantiating coremod class FMLForgePlugin
[17:31:55] [main/WARN] [FML]: The coremod FMLForgePlugin (net.minecraftforge.classloading.FMLForgePlugin) is not signed!
[17:31:55] [main/DEBUG] [FML]: Enqueued coremod FMLForgePlugin
[17:31:55] [main/DEBUG] [FML]: All fundamental core mods are successfully located
[17:31:55] [main/DEBUG] [FML]: Discovering coremods
[17:31:55] [main/INFO] [FML]: Searching C:\Users\unai\Desktop\Minecraft\Server develop\FTB Academy 1.4 (1.12.2 modpack)\.\mods for mods
[17:31:55] [main/DEBUG] [FML]:   Adding ActuallyAdditions-1.12.2-r151-2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding AppleSkin-mc1.12-1.0.14.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding astralsorcery-1.12.2-1.10.27.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding AutoRegLib-1.3-32.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding BackTools-1.12.2-7.0.1.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Baubles-1.12-1.5.2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding BetterBuildersWands-1.12.2-0.13.2.271+5997513.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding BetterFps-1.4.8.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding bonsaitrees-1.1.4-b170.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Bookshelf-1.12.2-2.3.590.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Botania r1.10-363.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding BrandonsCore-1.12.2-2.4.19.214-universal.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding BuildingGadgets-2.8.4.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Chameleon-1.12-4.1.3.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Chisel-MC1.12.2-1.0.2.45.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Clumps-3.1.2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding CodeChickenLib-1.12.2-3.2.3.358-universal.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding CoFHCore-1.12.2-4.6.6.1-universal.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding CoFHWorld-1.12.2-1.4.0.1-universal.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Controlling-3.0.10.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding CraftingTweaks_1.12.2-8.1.9.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding CraftPresence-Forge-1.12.2-Beta-1.7.5.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding CraftTweaker2-1.12-4.1.20.594.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding creeperconfetti-1.4.2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding CTM-MC1.12.2-1.0.2.31.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding CustomMainMenu-MC1.12.2-2.0.9.1.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding DefaultOptions_1.12.2-9.2.8.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding diethopper-1.1.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding DocumentYourModMod-2.0.2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Draconic-Evolution-1.12.2-2.3.27.353-universal.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding DynamicSurroundings-1.12.2-3.6.1.0.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding ElevatorMod-1.12.2-1.3.14.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding EnderStorage-1.12.2-2.4.6.137-universal.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding FastFurnace-1.12.2-1.3.1.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding FastLeafDecay-v14.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding FastWorkbench-1.12.2-1.7.3.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding foamfix-0.10.10-1.12.2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Forgelin-1.8.4.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding ftb-ultimine-1202.3.5.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding FTBAcademyMod-1.1.0.65.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding FTBBackups-1.1.0.1.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding FTBBanners-1.1.0.12.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding FTBGuides-2.0.0.52.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding FTBLib-5.4.7.2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding FTBQuests-1202.9.0.13.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding FTBTutorialMod-1.0.0.11.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding FTBUtilities-5.4.1.130.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding GameStages-1.12.2-2.0.123.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding harvestables-1.2.1.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Hats-1.12.2-7.1.1.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding iChunUtil-1.12.2-7.2.2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding industrialforegoing-1.12.2-1.12.13-237.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Instrumental-Mobs-1.2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding InventoryTweaks-1.63.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding ironchest-1.12.2-7.0.72.847.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding ItemFilters-1.0.4.2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding jei_1.12.2-4.16.1.302.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding jetif-1.12.2-1.5.2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding journeymap-1.12.2-5.7.1.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding JustEnoughResources-1.12.2-0.9.2.60.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding justthetips-1.12-1.0.1.1.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding KubeJS-forge-1.12.2-1.1.0.65.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding letsencryptcraft-1.10.2-1.2.0.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding MainMenuScale-1.3.2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Mantle-1.12-1.3.3.55.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding MineTogether-1.12.2-2.3.9.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding MobGrindingUtils-0.3.13.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding modnametooltip_1.12.2-1.10.1.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding modtweaker-4.0.18.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding moreoverlays-1.15.1-mc1.12.2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Morpheus-1.12.2-3.5.106.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding MouseTweaks-2.10-mc1.12.2.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding MTLib-3.0.6.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding NaturesCompass-1.12.2-1.8.5.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Neat 1.4-17.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding NetherPortalFix_1.12.1-5.3.17.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding OreLib-1.12.2-3.6.0.1.jar to the mod list
[17:31:55] [main/DEBUG] [FML]:   Adding Patchouli-1.0-21.jar to the mod list
